case_id	candidate_exact	candidate_decimal	objective_exact	objective_decimal	candidate_domain	winner
KYRGYZ-H21-M1	0	0	21	21	tenths_grid	false
KYRGYZ-H21-M1	1/10	0.1	1711/100	17.11	tenths_grid	false
KYRGYZ-H21-M1	1/5	0.2	341/25	13.64	tenths_grid	false
KYRGYZ-H21-M1	3/10	0.3	1059/100	10.59	tenths_grid	false
KYRGYZ-H21-M1	2/5	0.4	199/25	7.96	tenths_grid	false
KYRGYZ-H21-M1	1/2	0.5	23/4	5.75	tenths_grid	false
KYRGYZ-H21-M1	3/5	0.6	99/25	3.96	tenths_grid	false
KYRGYZ-H21-M1	7/10	0.7	259/100	2.59	tenths_grid	false
KYRGYZ-H21-M1	4/5	0.8	41/25	1.64	tenths_grid	false
KYRGYZ-H21-M1	9/10	0.9	111/100	1.11	tenths_grid	false
KYRGYZ-H21-M1	1	1	1	1	tenths_grid	true
KYRGYZ-H21-M1	41/42	0.97619047619	83/84	0.988095238095	continuum	true
