p_exact	p_decimal	h_over_m_exact	h_over_m_decimal	asymptotic_shape	reach_control	shape_control	q_exact
3/2	1.5	1	1	(1-u)^3	h/m	p	2
3/2	1.5	2	2	(1-u)^3	h/m	p	2
3/2	1.5	5	5	(1-u)^3	h/m	p	2
3/2	1.5	10	10	(1-u)^3	h/m	p	2
3/2	1.5	20	20	(1-u)^3	h/m	p	2
2	2	1	1	(1-u)^2	h/m	p	1
2	2	2	2	(1-u)^2	h/m	p	1
2	2	5	5	(1-u)^2	h/m	p	1
2	2	10	10	(1-u)^2	h/m	p	1
2	2	20	20	(1-u)^2	h/m	p	1
3	3	1	1	(1-u)^(3/2)	h/m	p	1/2
3	3	2	2	(1-u)^(3/2)	h/m	p	1/2
3	3	5	5	(1-u)^(3/2)	h/m	p	1/2
3	3	10	10	(1-u)^(3/2)	h/m	p	1/2
3	3	20	20	(1-u)^(3/2)	h/m	p	1/2
4	4	1	1	(1-u)^(4/3)	h/m	p	1/3
4	4	2	2	(1-u)^(4/3)	h/m	p	1/3
4	4	5	5	(1-u)^(4/3)	h/m	p	1/3
4	4	10	10	(1-u)^(4/3)	h/m	p	1/3
4	4	20	20	(1-u)^(4/3)	h/m	p	1/3
