window_id	band_lower_hz	score_variant	n_inquiries	positive_inquiries	zero_inquiries	negative_inquiries	required_positive_inquiries	median_delta	hodges_lehmann_delta	exact_binomial_p_greater	wilcoxon_n_nonzero	wilcoxon_w_plus	wilcoxon_exact_p_greater	matched_rank_biserial	sign_gate_pass	median_gate_pass	development_gate_pass
fixed_L20_O+0	500	full	14	13	0	1	12	0.383827155562	0.575793796362	0.00091552734375	14	104	0.0001220703125	0.980952380952	YES	YES	YES
fixed_L20_O+0	500	leave_flatness_out	14	11	0	3	12	0.61772372226	0.649306864833	0.0286865234375	14	99	0.0008544921875	0.885714285714	NO	YES	NO
fixed_L20_O+0	500	leave_high_low_out	14	13	0	1	12	0.300724962905	0.462955118289	0.00091552734375	14	103	0.00018310546875	0.961904761905	YES	YES	YES
fixed_L20_O+0	500	leave_zcr_out	14	14	0	0	12	0.424706164326	0.462217942202	6.103515625e-05	14	105	6.103515625e-05	1	YES	YES	YES
fixed_L20_O+0	1000	full	14	14	0	0	12	0.414600013753	0.501916471464	6.103515625e-05	14	105	6.103515625e-05	1	YES	YES	YES
fixed_L20_O+0	1000	leave_flatness_out	14	12	0	2	12	0.539334160572	0.637937237486	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L20_O+0	1000	leave_high_low_out	14	13	0	1	12	0.355659905745	0.397780581913	0.00091552734375	14	101	0.00042724609375	0.92380952381	YES	YES	YES
fixed_L20_O+0	1000	leave_zcr_out	14	13	0	1	12	0.357707711086	0.42144054296	0.00091552734375	14	104	0.0001220703125	0.980952380952	YES	YES	YES
fixed_L20_O+10	500	full	14	12	0	2	12	0.651131659156	0.651142389103	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L20_O+10	500	leave_flatness_out	14	11	0	3	12	0.616924687823	0.666037453187	0.0286865234375	14	96	0.00201416015625	0.828571428571	NO	YES	NO
fixed_L20_O+10	500	leave_high_low_out	14	12	0	2	12	0.5692751364	0.536581348648	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L20_O+10	500	leave_zcr_out	14	11	0	3	12	0.764336462376	0.689117670329	0.0286865234375	14	99	0.0008544921875	0.885714285714	NO	YES	NO
fixed_L20_O+10	1000	full	14	12	0	2	12	0.523748074668	0.474188326676	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L20_O+10	1000	leave_flatness_out	14	10	0	4	12	0.568979868657	0.669864487794	0.0897827148438	14	91	0.0067138671875	0.733333333333	NO	YES	NO
fixed_L20_O+10	1000	leave_high_low_out	14	11	0	3	12	0.418036338132	0.391238815661	0.0286865234375	14	94	0.00335693359375	0.790476190476	NO	YES	NO
fixed_L20_O+10	1000	leave_zcr_out	14	11	0	3	12	0.337362713619	0.446002932753	0.0286865234375	14	95	0.00262451171875	0.809523809524	NO	YES	NO
fixed_L20_O+5	500	full	14	13	0	1	12	0.574287621444	0.597487712817	0.00091552734375	14	103	0.00018310546875	0.961904761905	YES	YES	YES
fixed_L20_O+5	500	leave_flatness_out	14	12	0	2	12	0.414228541294	0.618030262558	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L20_O+5	500	leave_high_low_out	14	13	0	1	12	0.377839151834	0.470449165054	0.00091552734375	14	104	0.0001220703125	0.980952380952	YES	YES	YES
fixed_L20_O+5	500	leave_zcr_out	14	12	0	2	12	0.509377364027	0.511987889284	0.0064697265625	14	101	0.00042724609375	0.92380952381	YES	YES	YES
fixed_L20_O+5	1000	full	14	13	0	1	12	0.460342648687	0.500328104346	0.00091552734375	14	103	0.00018310546875	0.961904761905	YES	YES	YES
fixed_L20_O+5	1000	leave_flatness_out	14	12	0	2	12	0.425209021142	0.669929110871	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L20_O+5	1000	leave_high_low_out	14	13	0	1	12	0.311512965664	0.336038682173	0.00091552734375	14	97	0.00152587890625	0.847619047619	YES	YES	YES
fixed_L20_O+5	1000	leave_zcr_out	14	12	0	2	12	0.439440920141	0.455375094252	0.0064697265625	14	98	0.00115966796875	0.866666666667	YES	YES	YES
fixed_L20_O-5	500	full	14	13	0	1	12	0.411147403788	0.512586725522	0.00091552734375	14	103	0.00018310546875	0.961904761905	YES	YES	YES
fixed_L20_O-5	500	leave_flatness_out	14	12	0	2	12	0.651371661896	0.550206073347	0.0064697265625	14	98	0.00115966796875	0.866666666667	YES	YES	YES
fixed_L20_O-5	500	leave_high_low_out	14	12	0	2	12	0.338073621056	0.436309014193	0.0064697265625	14	102	0.00030517578125	0.942857142857	YES	YES	YES
fixed_L20_O-5	500	leave_zcr_out	14	13	0	1	12	0.327584615269	0.44983163057	0.00091552734375	14	104	0.0001220703125	0.980952380952	YES	YES	YES
fixed_L20_O-5	1000	full	14	12	0	2	12	0.427363698948	0.450456509856	0.0064697265625	14	97	0.00152587890625	0.847619047619	YES	YES	YES
fixed_L20_O-5	1000	leave_flatness_out	14	12	0	2	12	0.518660733245	0.567540785071	0.0064697265625	14	98	0.00115966796875	0.866666666667	YES	YES	YES
fixed_L20_O-5	1000	leave_high_low_out	14	11	0	3	12	0.395433511935	0.333275611401	0.0286865234375	14	96	0.00201416015625	0.828571428571	NO	YES	NO
fixed_L20_O-5	1000	leave_zcr_out	14	12	0	2	12	0.328713842089	0.365916507793	0.0064697265625	14	93	0.0042724609375	0.771428571429	YES	YES	YES
fixed_L30_O+0	500	full	14	13	0	1	12	0.419851654724	0.574034517387	0.00091552734375	14	102	0.00030517578125	0.942857142857	YES	YES	YES
fixed_L30_O+0	500	leave_flatness_out	14	12	0	2	12	0.392416406746	0.65028612326	0.0064697265625	14	99	0.0008544921875	0.885714285714	YES	YES	YES
fixed_L30_O+0	500	leave_high_low_out	14	13	0	1	12	0.379250238781	0.491386400928	0.00091552734375	14	102	0.00030517578125	0.942857142857	YES	YES	YES
fixed_L30_O+0	500	leave_zcr_out	14	12	0	2	12	0.468836790927	0.440406138781	0.0064697265625	14	102	0.00030517578125	0.942857142857	YES	YES	YES
fixed_L30_O+0	1000	full	14	14	0	0	12	0.329975878694	0.490193764188	6.103515625e-05	14	105	6.103515625e-05	1	YES	YES	YES
fixed_L30_O+0	1000	leave_flatness_out	14	12	0	2	12	0.37096320423	0.633531673838	0.0064697265625	14	99	0.0008544921875	0.885714285714	YES	YES	YES
fixed_L30_O+0	1000	leave_high_low_out	14	12	0	2	12	0.416529678132	0.384913384472	0.0064697265625	14	102	0.00030517578125	0.942857142857	YES	YES	YES
fixed_L30_O+0	1000	leave_zcr_out	14	13	0	1	12	0.320359687615	0.369991776283	0.00091552734375	14	103	0.00018310546875	0.961904761905	YES	YES	YES
fixed_L30_O+10	500	full	14	11	0	3	12	0.656010909765	0.646114562665	0.0286865234375	14	98	0.00115966796875	0.866666666667	NO	YES	NO
fixed_L30_O+10	500	leave_flatness_out	14	11	0	3	12	0.514996473906	0.663406841312	0.0286865234375	14	96	0.00201416015625	0.828571428571	NO	YES	NO
fixed_L30_O+10	500	leave_high_low_out	14	12	0	2	12	0.506198714648	0.506198714648	0.0064697265625	14	101	0.00042724609375	0.92380952381	YES	YES	YES
fixed_L30_O+10	500	leave_zcr_out	14	11	0	3	12	0.676609055156	0.659753504277	0.0286865234375	14	98	0.00115966796875	0.866666666667	NO	YES	NO
fixed_L30_O+10	1000	full	14	12	0	2	12	0.459772910348	0.498834766986	0.0064697265625	14	99	0.0008544921875	0.885714285714	YES	YES	YES
fixed_L30_O+10	1000	leave_flatness_out	14	12	0	2	12	0.469879914709	0.657448230006	0.0064697265625	14	92	0.00537109375	0.752380952381	YES	YES	YES
fixed_L30_O+10	1000	leave_high_low_out	14	12	0	2	12	0.327815813612	0.338485415803	0.0064697265625	14	94	0.00335693359375	0.790476190476	YES	YES	YES
fixed_L30_O+10	1000	leave_zcr_out	14	11	0	3	12	0.378998635223	0.466417029603	0.0286865234375	14	96	0.00201416015625	0.828571428571	NO	YES	NO
fixed_L30_O+5	500	full	14	13	0	1	12	0.499016148654	0.655380408796	0.00091552734375	14	101	0.00042724609375	0.92380952381	YES	YES	YES
fixed_L30_O+5	500	leave_flatness_out	14	11	0	3	12	0.504059908525	0.701377936431	0.0286865234375	14	96	0.00201416015625	0.828571428571	NO	YES	NO
fixed_L30_O+5	500	leave_high_low_out	14	14	0	0	12	0.410392337139	0.495629189186	6.103515625e-05	14	105	6.103515625e-05	1	YES	YES	YES
fixed_L30_O+5	500	leave_zcr_out	14	12	0	2	12	0.654996622058	0.630130383132	0.0064697265625	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L30_O+5	1000	full	14	13	0	1	12	0.383430595822	0.486416768466	0.00091552734375	14	104	0.0001220703125	0.980952380952	YES	YES	YES
fixed_L30_O+5	1000	leave_flatness_out	14	12	0	2	12	0.429836453622	0.672930552526	0.0064697265625	14	92	0.00537109375	0.752380952381	YES	YES	YES
fixed_L30_O+5	1000	leave_high_low_out	14	13	0	1	12	0.349716340311	0.363460819467	0.00091552734375	14	100	0.0006103515625	0.904761904762	YES	YES	YES
fixed_L30_O+5	1000	leave_zcr_out	14	12	0	2	12	0.338601024104	0.451182990884	0.0064697265625	14	101	0.00042724609375	0.92380952381	YES	YES	YES
fixed_L40_O+10	500	full	14	12	0	2	12	0.561857588283	0.598771110547	0.0064697265625	14	98	0.00115966796875	0.866666666667	YES	YES	YES
fixed_L40_O+10	500	leave_flatness_out	14	11	0	3	12	0.491839333505	0.640972804587	0.0286865234375	14	97	0.00152587890625	0.847619047619	NO	YES	NO
fixed_L40_O+10	500	leave_high_low_out	14	13	0	1	12	0.427715908063	0.479531630172	0.00091552734375	14	104	0.0001220703125	0.980952380952	YES	YES	YES
fixed_L40_O+10	500	leave_zcr_out	14	11	0	3	12	0.788774187135	0.681752898634	0.0286865234375	14	98	0.00115966796875	0.866666666667	NO	YES	NO
fixed_L40_O+10	1000	full	14	12	0	2	12	0.434777151185	0.483029414582	0.0064697265625	14	102	0.00030517578125	0.942857142857	YES	YES	YES
fixed_L40_O+10	1000	leave_flatness_out	14	12	0	2	12	0.4310046125	0.698002263316	0.0064697265625	14	92	0.00537109375	0.752380952381	YES	YES	YES
fixed_L40_O+10	1000	leave_high_low_out	14	12	0	2	12	0.281074286472	0.320185294649	0.0064697265625	14	94	0.00335693359375	0.790476190476	YES	YES	YES
fixed_L40_O+10	1000	leave_zcr_out	14	12	0	2	12	0.40255726438	0.474019766657	0.0064697265625	14	98	0.00115966796875	0.866666666667	YES	YES	YES
