source,root,last_two,final_low_vowel,all_harmonic_vowels_unrounded,morphology,observed_root_surface_class,harmony_visibility,observed_suffix_skeleton,primary_observer_covered,manual_exclusion_flag,blocker_flag,incidences
akademiye,a'ile,BF,e,true,acc,neutral_i,none,CV,true,false,false,46
akademiye,a'ile,BF,e,true,acc,unraised,none,CV,true,false,false,1
akademiye,a'ile,BF,e,true,dat,neutral_i,front,CV,true,false,false,44
akademiye,a'ile,BF,e,true,dat,unraised,front,CV,true,false,false,2
akademiye,a'ile,BF,e,true,loc,neutral_i,front,CV,true,false,false,114
akademiye,a'ile,BF,e,true,loc,unraised,front,CV,true,false,false,4
akademiye,abide,BF,e,true,acc,neutral_i,none,CV,true,false,false,4
akademiye,abide,BF,e,true,dat,neutral_i,front,CV,true,false,false,4
akademiye,abide,BF,e,true,loc,neutral_i,front,CV,true,false,false,1
akademiye,aha,BB,a,true,loc,neutral_i,front,CV,true,false,false,1
akademiye,ahale,BF,e,true,acc,neutral_i,none,CV,true,false,false,19
akademiye,ahale,BF,e,true,dat,neutral_i,back,CV,true,false,false,2
akademiye,ahale,BF,e,true,dat,neutral_i,front,CV,true,false,false,5
akademiye,akadémiye,BF,e,true,acc,neutral_i,none,CV,true,false,false,1
akademiye,akadémiye,BF,e,true,acc,unraised,none,CV,true,false,false,15
akademiye,akadémiye,BF,e,true,dat,unraised,front,CV,true,false,false,23
akademiye,akadémiye,BF,e,true,loc,neutral_i,front,CV,true,false,false,2
akademiye,akadémiye,BF,e,true,loc,unraised,front,CV,true,false,false,11
akademiye,alla,BB,a,true,acc,unraised,none,CV,true,false,false,6
akademiye,alla,BB,a,true,dat,unraised,back,CV,true,false,false,32
akademiye,alma,BB,a,true,dat,neutral_i,back,CV,true,false,false,4
akademiye,amma,BB,a,true,acc,neutral_i,none,CV,true,false,false,19
akademiye,amma,BB,a,true,dat,neutral_i,back,CV,true,false,false,33
akademiye,amma,BB,a,true,loc,neutral_i,back,CV,true,false,false,1
akademiye,ana,BB,a,true,acc,neutral_i,none,CV,true,false,false,22
akademiye,ana,BB,a,true,dat,neutral_i,back,CV,true,false,false,28
akademiye,ana,BB,a,true,loc,neutral_i,back,CV,true,false,false,1
akademiye,apa,BB,a,true,acc,neutral_i,none,CV,true,false,false,1
akademiye,aptonomiye,BF,e,false,acc,unraised,none,CV,true,false,false,3
akademiye,aptonomiye,BF,e,false,dat,unraised,front,CV,true,false,false,3
akademiye,aptonomiye,BF,e,false,loc,unraised,front,CV,true,false,false,1
akademiye,ara,BB,a,true,dat,unraised,back,CV,true,false,false,5
akademiye,ara,BB,a,true,loc,unraised,back,CV,true,false,false,11
akademiye,archa,BB,a,true,acc,neutral_i,none,CV,true,false,false,3
akademiye,arghamcha,BB,a,true,acc,neutral_i,none,CV,true,false,false,4
akademiye,arghamcha,BB,a,true,dat,neutral_i,back,CV,true,false,false,3
akademiye,arghamcha,BB,a,true,loc,neutral_i,back,CV,true,false,false,2
akademiye,ariye,BF,e,true,dat,unraised,front,CV,true,false,false,1
akademiye,armiye,BF,e,true,acc,neutral_i,none,CV,true,false,false,14
akademiye,armiye,BF,e,true,acc,unraised,none,CV,true,false,false,19
akademiye,armiye,BF,e,true,dat,neutral_i,front,CV,true,false,false,12
akademiye,armiye,BF,e,true,dat,unraised,front,CV,true,false,false,19
akademiye,armiye,BF,e,true,loc,neutral_i,front,CV,true,false,false,4
akademiye,armiye,BF,e,true,loc,unraised,front,CV,true,false,false,5
akademiye,ashxana,BB,a,true,acc,neutral_i,none,CV,true,false,false,2
akademiye,ashxana,BB,a,true,dat,neutral_i,back,CV,true,false,false,4
akademiye,ashxana,BB,a,true,loc,neutral_i,back,CV,true,false,false,12
akademiye,assimilyatsiye,BF,e,true,acc,unraised,none,CV,true,false,false,2
akademiye,assimilyatsiye,BF,e,true,dat,unraised,front,CV,true,false,false,1
akademiye,astane,BF,e,true,acc,neutral_i,none,CV,true,true,false,2
akademiye,astane,BF,e,true,dat,neutral_i,back,CV,true,true,false,1
akademiye,astane,BF,e,true,dat,neutral_i,front,CV,true,true,false,3
akademiye,astane,BF,e,true,loc,neutral_i,back,CV,true,true,false,2
akademiye,astane,BF,e,true,loc,neutral_i,front,CV,true,true,false,4
akademiye,astronomiye,BF,e,false,dat,unraised,front,CV,true,false,false,1
akademiye,ata,BB,a,true,acc,neutral_i,none,CV,true,false,false,5
akademiye,ata,BB,a,true,dat,neutral_i,back,CV,true,false,false,7
akademiye,ata,BB,a,true,dat,neutral_i,front,CV,true,false,false,1
akademiye,ata,BB,a,true,loc,neutral_i,back,CV,true,false,false,1
akademiye,baha,BB,a,true,acc,unraised,none,CV,true,false,false,14
akademiye,baha,BB,a,true,dat,unraised,back,CV,true,false,false,19
akademiye,baha,BB,a,true,loc,unraised,back,CV,true,false,false,31
akademiye,bahane,BF,e,true,acc,neutral_i,none,CV,true,false,false,3
akademiye,bahane,BF,e,true,dat,neutral_i,front,CV,true,false,false,2
akademiye,bahane,BF,e,true,loc,neutral_i,back,CV,true,false,false,1
akademiye,bahane,BF,e,true,loc,neutral_i,front,CV,true,false,false,7
akademiye,bajxana,BB,a,true,loc,neutral_i,back,CV,true,false,false,1
