root,last_two,final_low_vowel,all_harmonic_vowels_unrounded,acc_incidences,acc_neutral_i_e,acc_rounded_u_ue,acc_unraised,acc_unresolved,dat_incidences,dat_primary_raised_front,dat_primary_raised_back,dat_primary_unraised_front,dat_primary_unraised_back,dat_bare_or_unresolved,loc_incidences,loc_primary_raised_front,loc_primary_raised_back,loc_primary_unraised_front,loc_primary_unraised_back,loc_bare_or_unresolved
a'ile,BF,e,true,163.0,162.0,0,1.0,0,244.0,242.0,0,2.0,0,0.0,324.0,317.0,0,7.0,0,0.0
abide,BF,e,true,11.0,11.0,0,0,0,7.0,7.0,0,0,0,0.0,4.0,4.0,0,0,0,0.0
acha,BB,a,true,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aghriqxana,BB,a,true,17.0,0,0,0,17.0,157.0,0,3.0,0,0,154.0,158.0,0,3.0,0,0,155.0
aha,BB,a,true,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0.0
ahale,BF,e,true,394.0,394.0,0,0,0,248.0,46.0,202.0,0,0,0.0,3.0,3.0,0,0,0,0.0
akadémiye,BF,e,true,19.0,2.0,0,17.0,0,29.0,5.0,0,24.0,0,0.0,16.0,5.0,0,11.0,0,0.0
akula,BB,a,false,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alicha,BB,a,true,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0.0
alla,BB,a,true,27.0,0,0,27.0,0,217.0,0,0,0,217.0,0.0,0,0,0,0,0,0
alma,BB,a,true,0,0,0,0,0,9.0,0,9.0,0,0,0.0,1.0,0,1.0,0,0,0.0
amma,BB,a,true,238.0,238.0,0,0,0,376.0,0,376.0,0,0,0.0,7.0,0,7.0,0,0,0.0
ana,BB,a,true,171.0,171.0,0,0,0,230.0,0,230.0,0,0,0.0,3.0,0,3.0,0,0,0.0
antanta,BB,a,true,0,0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
apa,BB,a,true,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aptonomiye,BF,e,false,25.0,0,0,25.0,0,12.0,0,0,12.0,0,0.0,2.0,0,0,2.0,0,0.0
ara,BB,a,true,0,0,0,0,0,6.0,0,0,0,6.0,0.0,12.0,0,0,0,12.0,0.0
archa,BB,a,true,13.0,13.0,0,0,0,5.0,0,5.0,0,0,0.0,1.0,0,1.0,0,0,0.0
arghamcha,BB,a,true,5.0,5.0,0,0,0,6.0,0,6.0,0,0,0.0,3.0,0,3.0,0,0,0.0
ariye,BF,e,true,1.0,0,0,1.0,0,1.0,0,0,1.0,0,0.0,0,0,0,0,0,0
armiye,BF,e,true,96.0,42.0,0,54.0,0,112.0,51.0,0,61.0,0,0.0,40.0,18.0,0,22.0,0,0.0
arpa,BB,a,true,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashxana,BB,a,true,19.0,19.0,0,0,0,37.0,0,37.0,0,0,0.0,57.0,0,57.0,0,0,0.0
aspirantura,BB,a,false,13.0,13.0,0,0,0,23.0,0,23.0,0,0,0.0,41.0,0,41.0,0,0,0.0
assimilyatsiye,BF,e,true,17.0,0,0,17.0,0,19.0,0,0,19.0,0,0.0,0,0,0,0,0,0
astane,BF,e,true,4.0,4.0,0,0,0,7.0,3.0,4.0,0,0,0.0,33.0,13.0,20.0,0,0,0.0
astronomiye,BF,e,false,0,0,0,0,0,2.0,0,0,2.0,0,0.0,0,0,0,0,0,0
ata,BB,a,true,43.0,43.0,0,0,0,63.0,1.0,62.0,0,0,0.0,3.0,0,3.0,0,0,0.0
atmosféra,BB,a,false,2.0,2.0,0,0,0,3.0,0,3.0,0,0,0.0,3.0,0,3.0,0,0,0.0
aza,BB,a,true,2.0,2.0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
bade,BF,e,true,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0.0
baha,BB,a,true,90.0,0,0,90.0,0,186.0,0,0,0,186.0,0.0,267.0,0,0,0,267.0,0.0
bahane,BF,e,true,7.0,7.0,0,0,0,14.0,14.0,0,0,0,0.0,130.0,119.0,11.0,0,0,0.0
bajxana,BB,a,true,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0.0
bala,BB,a,true,683.0,683.0,0,0,0,424.0,0,424.0,0,0,0.0,38.0,8.0,30.0,0,0,0.0
bara,BB,a,true,0,0,0,0,0,16.0,0,16.0,0,0,0.0,23.0,0,23.0,0,0,0.0
bashla,BB,a,true,0,0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
bashlanma,BB,a,true,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bashqarma,BB,a,true,0,0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
basmixana,BB,a,true,1.0,0,0,0,1.0,31.0,0,0,0,0,31.0,24.0,0,2.0,0,0,22.0
bataréya,BB,a,true,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0.0
bayanname,BF,e,true,6.0,6.0,0,0,0,2.0,1.0,1.0,0,0,0.0,6.0,4.0,2.0,0,0,0.0
baywechche,FF,e,true,2.0,2.0,0,0,0,6.0,6.0,0,0,0,0.0,0,0,0,0,0,0
baza,BB,a,true,32.0,32.0,0,0,0,57.0,0,57.0,0,0,0.0,21.0,0,21.0,0,0,0.0
belche,FF,e,true,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,0.0
berre,FF,e,true,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beshire,FF,e,true,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birleshme,FF,e,true,1.0,1.0,0,0,0,9.0,9.0,0,0,0,0.0,3.0,3.0,0,0,0,0.0
bola,BB,a,false,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0.0
bolghuche,BF,e,false,7.0,7.0,0,0,0,6.0,0,6.0,0,0,0.0,2.0,0,2.0,0,0,0.0
bomba,BB,a,false,68.0,68.0,0,0,0,38.0,0,38.0,0,0,0.0,7.0,0,7.0,0,0,0.0
bowa,BB,a,false,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronza,BB,a,false,2.0,2.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0.0
budda,BB,a,false,0,0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
burda,BB,a,false,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burma,BB,a,false,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burzhu'aziye,BF,e,false,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
bölme,FF,e,false,18.0,18.0,0,0,0,75.0,75.0,0,0,0,0.0,67.0,67.0,0,0,0,0.0
böre,FF,e,false,38.0,38.0,0,0,0,30.0,30.0,0,0,0,0.0,0,0,0,0,0,0
bügünche,FF,e,false,0,0,0,0,0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,0
chama,BB,a,true,1.0,1.0,0,0,0,2.0,0,2.0,0,0,0.0,0,0,0,0,0,0
chana,BB,a,true,1.0,1.0,0,0,0,5.0,0,5.0,0,0,0.0,3.0,0,3.0,0,0,0.0
changchile,BF,e,true,1.0,1.0,0,0,0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,0
charshenbe,FF,e,true,0,0,0,0,0,1.0,1.0,0,0,0,0.0,1.0,1.0,0,0,0,0.0
charwa,BB,a,true,2.0,2.0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
chasa,BB,a,true,0,0,0,0,0,1.0,0,1.0,0,0,0.0,0,0,0,0,0,0
chaza,BB,a,true,1.0,1.0,0,0,0,3.0,0,3.0,0,0,0.0,7.0,0,7.0,0,0,0.0
chelle,FF,e,true,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,1.0,0,0,0.0
chewre,FF,e,true,1.0,1.0,0,0,0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,0
chola,BB,a,false,0,0,0,0,0,2.0,0,2.0,0,0,0.0,2.0,0,2.0,0,0,0.0
chöre,FF,e,false,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chüje,FF,e,false,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chümperde,FF,e,false,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chümüle,FF,e,false,4.0,4.0,0,0,0,6.0,6.0,0,0,0,0.0,0,0,0,0,0,0
chüshenche,FF,e,false,70.0,70.0,0,0,0,210.0,210.0,0,0,0,0.0,29.0,29.0,0,0,0,0.0
da'ire,BF,e,true,49.0,49.0,0,0,0,63.0,62.0,1.0,0,0,0.0,493.0,493.0,0,0,0,0.0
dacha,BB,a,true,0,0,0,0,0,6.0,0,6.0,0,0,0.0,8.0,0,8.0,0,0,0.0
dada,BB,a,true,6.0,6.0,0,0,0,27.0,0,27.0,0,0,0.0,0,0,0,0,0,0
daire,BF,e,true,8.0,8.0,0,0,0,4.0,4.0,0,0,0,0.0,224.0,224.0,0,0,0,0.0
dala,BB,a,true,24.0,0,0,24.0,0,30.0,0,0,0,30.0,0.0,58.0,0,0,0,58.0,0.0
dalda,BB,a,true,2.0,2.0,0,0,0,46.0,0,46.0,0,0,0.0,5.0,0,5.0,0,0,0.0
damolla,BB,a,false,12.0,12.0,0,0,0,8.0,0,8.0,0,0,0.0,1.0,0,1.0,0,0,0.0
dara,BB,a,true,0,0,0,0,0,59.0,0,59.0,0,0,0.0,0,0,0,0,0,0
debdebe,FF,e,true,0,0,0,0,0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,0
depne,FF,e,true,0,0,0,0,0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,0
derije,FF,e,true,12.0,12.0,0,0,0,837.0,837.0,0,0,0,0.0,4924.0,4922.0,2.0,0,0,0.0
dersxana,BB,a,true,2.0,2.0,0,0,0,12.0,0,12.0,0,0,0.0,38.0,0,38.0,0,0,0.0
derwaza,BB,a,true,32.0,32.0,0,0,0,28.0,0,28.0,0,0,0.0,7.0,0,7.0,0,0,0.0
derya,FB,a,true,11.0,0,0,11.0,0,71.0,0,0,0,71.0,0.0,17.0,0,0,1.0,16.0,0.0
desmaye,BF,e,true,0,0,0,0,0,4.0,3.0,1.0,0,0,0.0,0,0,0,0,0,0
dewa,FB,a,true,66.0,0,0,66.0,0,50.0,0,0,0,50.0,0.0,22.0,0,0,0,22.0,0.0
diploma,BB,a,false,67.0,67.0,0,0,0,10.0,0,10.0,0,0,0.0,0,0,0,0,0,0
diplomatiye,BF,e,false,7.0,0,0,7.0,0,11.0,0,0,11.0,0,0.0,16.0,0,0,16.0,0,0.0
dissértatsiye,BF,e,true,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
doppa,BB,a,false,14.0,14.0,0,0,0,11.0,0,11.0,0,0,0.0,0,0,0,0,0,0
dorixana,BB,a,false,1.0,0,0,0,1.0,3.0,0,3.0,0,0,0.0,4.0,0,2.0,0,0,2.0
doxturxana,BB,a,false,10.0,10.0,0,0,0,418.0,0,399.0,0,0,19.0,436.0,0,418.0,0,0,18.0
doza,BB,a,false,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0.0
drama,BB,a,true,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
du'a,BB,a,false,18.0,0,0,18.0,0,51.0,0,0,0,51.0,0.0,12.0,0,0,0,12.0,0.0
duniya,BB,a,false,232.0,0,0,232.0,0,1732.0,0,0,0,1732.0,0.0,823.0,0,0,0,823.0,0.0
dunya,BB,a,false,925.0,0,0,925.0,0,3611.0,0,0,0,3611.0,0.0,2044.0,0,0,1.0,2043.0,0.0
démokratiye,BF,e,false,187.0,0,0,187.0,0,85.0,0,0,85.0,0,0.0,6.0,0,0,6.0,0,0.0
düshenbe,FF,e,false,1.0,1.0,0,0,0,13.0,13.0,0,0,0,0.0,18.0,18.0,0,0,0,0.0
ediliye,FF,e,true,0,0,0,0,0,2.0,0,0,2.0,0,0.0,0,0,0,0,0,0
edliye,FF,e,true,7.0,0,0,7.0,0,6.0,0,0,6.0,0,0.0,0,0,0,0,0,0
ehdiname,BF,e,true,23.0,23.0,0,0,0,46.0,43.0,3.0,0,0,0.0,22.0,20.0,2.0,0,0,0.0
ela,FB,a,true,15.0,15.0,0,0,0,29.0,29.0,0,0,0,0.0,2.0,2.0,0,0,0,0.0
elchixana,BB,a,true,2.0,2.0,0,0,0,33.0,1.0,32.0,0,0,0.0,17.0,0,16.0,0,0,1.0
en'ene,FF,e,true,84.0,84.0,0,0,0,441.0,441.0,0,0,0,0.0,2.0,2.0,0,0,0,0.0
