"speaker_split"	"tracker_id"	"start_offset_ms"	"end_offset_ms"	"paired_speaker_support"	"f1_20_positive_speakers"	"f1_20_zero_speakers"	"dress_minus_fleece_f1_20_median_hz"	"f2_20_positive_speakers"	"f2_20_zero_speakers"	"fleece_minus_dress_f2_20_median_hz"	"f1_30_positive_speakers"	"f1_30_zero_speakers"	"dress_minus_fleece_f1_30_median_hz"	"f2_30_positive_speakers"	"f2_30_zero_speakers"	"fleece_minus_dress_f2_30_median_hz"	"f1_40_positive_speakers"	"f1_40_zero_speakers"	"dress_minus_fleece_f1_40_median_hz"	"f2_40_positive_speakers"	"f2_40_zero_speakers"	"fleece_minus_dress_f2_40_median_hz"	"f1_50_positive_speakers"	"f1_50_zero_speakers"	"dress_minus_fleece_f1_50_median_hz"	"f2_50_positive_speakers"	"f2_50_zero_speakers"	"fleece_minus_dress_f2_50_median_hz"	"f1_60_positive_speakers"	"f1_60_zero_speakers"	"dress_minus_fleece_f1_60_median_hz"	"f2_60_positive_speakers"	"f2_60_zero_speakers"	"fleece_minus_dress_f2_60_median_hz"	"f1_70_positive_speakers"	"f1_70_zero_speakers"	"dress_minus_fleece_f1_70_median_hz"	"f2_70_positive_speakers"	"f2_70_zero_speakers"	"fleece_minus_dress_f2_70_median_hz"	"f1_80_positive_speakers"	"f1_80_zero_speakers"	"dress_minus_fleece_f1_80_median_hz"	"f2_80_positive_speakers"	"f2_80_zero_speakers"	"fleece_minus_dress_f2_80_median_hz"
"CONFIRMATION_ODD"	"T4500_W025"	-20	-20	46	45	0	"149 245018992161/250000000000"	41	0	"286 48053306837/200000000000"	46	0	"183 157318939619/200000000000"	39	0	"365 436389342811/1000000000000"	46	0	"213 731695278417/1000000000000"	42	0	"351 150190804557/500000000000"	46	0	"228 101516891713/200000000000"	44	0	"393 2034917517/8000000000"	46	0	"242 759327118477/1000000000000"	42	0	"452 158680178149/500000000000"	46	0	"265 591926770941/1000000000000"	42	0	"420 1467756023/2000000000"	46	0	"265 138689315931/250000000000"	43	0	"466 852541914353/1000000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-20	-10	47	47	0	"150 162406664359/500000000000"	42	0	"291 25828723721/125000000000"	47	0	"197 8873648431/500000000000"	43	0	"354 751533946761/1000000000000"	47	0	"225 169077951207/1000000000000"	45	0	"378 345298449631/1000000000000"	47	0	"243 117823553941/200000000000"	44	0	"417 660509382889/1000000000000"	47	0	"260 981074618061/1000000000000"	43	0	"419 536450507873/1000000000000"	47	0	"268 56739110311/1000000000000"	42	0	"422 67750734741/250000000000"	47	0	"265 442205230957/500000000000"	44	0	"488 11739550989/100000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-20	0	46	46	0	"168 44785727789/500000000000"	41	0	"349 173581531557/200000000000"	46	0	"199 219892580689/1000000000000"	43	0	"360 57440385773/200000000000"	46	0	"225 419821600643/1000000000000"	44	0	"391 23884558893/200000000000"	46	0	"252 59043491673/250000000000"	43	0	"428 127209619693/500000000000"	46	0	"265 486764443529/500000000000"	43	0	"420 13794124339/62500000000"	46	0	"264 16986030641/20000000000"	42	0	"485 479015664643/1000000000000"	46	0	"238 169416332397/200000000000"	45	0	"443 83846759403/200000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-20	10	36	36	0	"159 870659644427/1000000000000"	31	0	"345 233639823327/500000000000"	36	0	"194 833010587723/1000000000000"	33	0	"342 564068878083/1000000000000"	36	0	"227 82241591507/250000000000"	32	0	"398 1593256007/3125000000"	36	0	"254 313680802757/1000000000000"	35	0	"443 217324879137/1000000000000"	36	0	"253 346745817827/1000000000000"	30	0	"443 462697740813/1000000000000"	36	0	"248 129508743551/1000000000000"	34	0	"475 920920887683/1000000000000"	36	0	"242 438208928687/1000000000000"	31	0	"332 15779065561/250000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-20	20	40	40	0	"180 136628308803/500000000000"	35	0	"434 133750545937/250000000000"	40	0	"217 304013466509/1000000000000"	37	0	"480 32358022367/1000000000000"	40	0	"247 231488570597/500000000000"	38	0	"413 580930533203/1000000000000"	40	0	"275 412747089891/1000000000000"	38	0	"486 38803889009/200000000000"	40	0	"264 142370619271/1000000000000"	35	0	"476 29696298257/100000000000"	40	0	"251 592558331887/1000000000000"	37	0	"391 316824199617/1000000000000"	40	0	"237 67023893181/500000000000"	35	0	"296 28882591363/250000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-10	-20	47	47	0	"182 36076693809/50000000000"	42	0	"352 79975759713/200000000000"	47	0	"198 70484237607/200000000000"	44	0	"385 240720880387/1000000000000"	47	0	"221 17039400121/31250000000"	45	0	"408 118865839609/250000000000"	47	0	"240 371910907689/500000000000"	44	0	"417 12154597581/12500000000"	47	0	"249 416452317821/500000000000"	44	0	"441 86348976301/125000000000"	47	0	"257 50418870589/100000000000"	43	0	"431 794153645379/1000000000000"	47	0	"265 645790553293/1000000000000"	44	0	"454 284047397797/1000000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-10	-10	46	46	0	"187 149819816147/250000000000"	40	0	"354 993153485699/1000000000000"	46	0	"208 329456864433/1000000000000"	43	0	"375 218136361973/250000000000"	46	0	"228 7899349479/15625000000"	42	0	"395 139651240127/1000000000000"	46	0	"250 23571090541/100000000000"	44	0	"409 323178243717/500000000000"	46	0	"268 420498231027/500000000000"	42	0	"420 258516396427/500000000000"	46	0	"268 125129444239/1000000000000"	41	0	"479 213835728703/250000000000"	46	0	"248 336855207217/500000000000"	44	0	"486 60665706401/250000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-10	0	46	46	0	"197 126671046533/1000000000000"	42	0	"362 146661941327/200000000000"	46	0	"218 3754070139/125000000000"	44	0	"417 992082358317/1000000000000"	46	0	"241 240272374453/500000000000"	43	0	"433 39474859633/1000000000000"	46	0	"256 202397246403/1000000000000"	43	0	"435 36927902223/1000000000000"	46	0	"274 79994748081/100000000000"	42	0	"447 40201653479/500000000000"	46	0	"261 967512807859/1000000000000"	43	0	"475 298007918567/500000000000"	46	0	"238 15384297727/62500000000"	44	0	"404 3275627349/31250000000"
"CONFIRMATION_ODD"	"T4500_W025"	-10	10	41	41	0	"191 142987240159/500000000000"	36	0	"395 102348020641/125000000000"	41	0	"224 48229121287/62500000000"	36	0	"448 157749969351/200000000000"	41	0	"249 130010090191/500000000000"	40	0	"435 316752934293/1000000000000"	41	0	"269 602897248471/1000000000000"	39	0	"481 899419322541/1000000000000"	41	0	"265 15512043251/20000000000"	36	0	"433 303787072833/500000000000"	41	0	"249 456467581657/1000000000000"	40	0	"495 7472199369/125000000000"	41	0	"239 15509005581/15625000000"	33	0	"316 357097432547/1000000000000"
"CONFIRMATION_ODD"	"T4500_W025"	-10	20	40	40	0	"196 949074521703/1000000000000"	34	0	"396 788079537/12500000000"	40	0	"229 97294826063/1000000000000"	34	0	"380 102372003/400000000"	40	0	"268 48395261259/250000000000"	38	0	"408 58403536493/1000000000000"	40	0	"278 446002655563/1000000000000"	37	0	"426 34342666409/50000000000"	40	0	"262 720854063159/1000000000000"	36	0	"485 340832497187/1000000000000"	40	0	"250 328751653221/1000000000000"	34	0	"388 603078163823/1000000000000"	40	0	"221 143288921677/1000000000000"	34	0	"195 853052180913/1000000000000"
