result_id	assumption_id	status	used_by_proof	necessity_status	countermodel
APP-BASIC	APP-BASIC.SOURCE.01	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
APP-MCC-COMP	APP-MCC-COMP.SOURCE.01	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
APP-MCC-GRID	APP-MCC-GRID.SOURCE.01	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
APP-MCC-LENGTH	APP-MCC-LENGTH.SOURCE.01	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-F1	CALC-F1.A1	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-F1	CALC-F1.A2	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-F1	CALC-F1.A3	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-F1	CALC-F1.A4	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R01	CALC-R01.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R02	CALC-R02.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R03	CALC-R03.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R04	CALC-R04.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R05	CALC-R05.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R06	CALC-R06.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R07	CALC-R07.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R08	CALC-R08.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R09	CALC-R09.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R10	CALC-R10.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R11	CALC-R11.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R12	CALC-R12.P-RANGE	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R13	CALC-R13.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R14	CALC-R14.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CALC-R15	CALC-R15.EXACT-FINITE-MODEL	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B1	CHG-B1.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B10	CHG-B10.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B11	CHG-B11.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B12	CHG-B12.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B13	CHG-B13.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B14	CHG-B14.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B15	CHG-B15.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B16	CHG-B16.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B2	CHG-B2.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B3	CHG-B3.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B4	CHG-B4.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
CHG-B5	CHG-B5.ASSUMPTION-MANIFEST	PASS	true	sufficient_not_claimed_necessary	not_required_for_the_registered_sufficiency_theorem
