result_id	direct_dependencies	transitive_dependencies	direct_dependency_count	transitive_dependency_count	all_dependencies_machine_closed	dependency_closed
APP-BASIC	MAX-G6	MAX-G1;MAX-G2;MAX-G3;MAX-G4;MAX-G5;MAX-G6	1	6	true	true
APP-MCC-COMP	CHG-B2;FIN-A7	CALC-F1;CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15;CHG-B1;CHG-B2;FIN-A4;FIN-A5;FIN-A6;FIN-A7	2	22	true	true
APP-MCC-GRID	CHG-B4;CHG-B6	CHG-B1;CHG-B2;CHG-B4;CHG-B6	2	4	true	true
APP-MCC-LENGTH	CHG-B2;CHG-B3	CHG-B1;CHG-B2;CHG-B3	2	3	true	true
CALC-F1	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15	15	15	true	true
CALC-R01			0	0	true	true
CALC-R02			0	0	true	true
CALC-R03			0	0	true	true
CALC-R04			0	0	true	true
CALC-R05			0	0	true	true
CALC-R06			0	0	true	true
CALC-R07			0	0	true	true
CALC-R08			0	0	true	true
CALC-R09			0	0	true	true
CALC-R10			0	0	true	true
CALC-R11			0	0	true	true
CALC-R12			0	0	true	true
CALC-R13			0	0	true	true
CALC-R14			0	0	true	true
CALC-R15			0	0	true	true
CHG-B1			0	0	true	true
CHG-B10	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CHG-B11	CHG-B2;CHG-B9	CHG-B1;CHG-B2;CHG-B9	2	3	true	true
CHG-B12	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CHG-B13	CHG-B2;CHG-B9	CHG-B1;CHG-B2;CHG-B9	2	3	true	true
CHG-B14	CHG-B2;CHG-B9	CHG-B1;CHG-B2;CHG-B9	2	3	true	true
CHG-B15	CHG-B2;CHG-B5	CHG-B1;CHG-B2;CHG-B5	2	3	true	true
CHG-B16	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CHG-B2	CHG-B1	CHG-B1	1	1	true	true
CHG-B3	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CHG-B4			0	0	true	true
CHG-B5			0	0	true	true
CHG-B6	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CHG-B7	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CHG-B8	CHG-B6	CHG-B1;CHG-B2;CHG-B6	1	3	true	true
CHG-B9	CHG-B2	CHG-B1;CHG-B2	1	2	true	true
CTX-C1			0	0	true	true
CTX-C2			0	0	true	true
DATA-EN-R1	FIN-A5	FIN-A4;FIN-A5	1	2	true	true
DATA-PT-R1	FIN-A4	FIN-A4	1	1	true	true
DATA-ZH-R1	FIN-A5	FIN-A4;FIN-A5	1	2	true	true
FIN-A1			0	0	true	true
FIN-A2	FIN-A1	FIN-A1	1	1	true	true
FIN-A3			0	0	true	true
FIN-A4			0	0	true	true
FIN-A5	FIN-A4	FIN-A4	1	1	true	true
FIN-A6	FIN-A4;FIN-A5	FIN-A4;FIN-A5	2	2	true	true
FIN-A7	CALC-F1;FIN-A4;FIN-A5;FIN-A6	CALC-F1;CALC-R01;CALC-R02;CALC-R03;CALC-R04;CALC-R05;CALC-R06;CALC-R07;CALC-R08;CALC-R09;CALC-R10;CALC-R11;CALC-R12;CALC-R13;CALC-R14;CALC-R15;FIN-A4;FIN-A5;FIN-A6	4	19	true	true
FLUX-D1			0	0	true	true
FLUX-D2	FLUX-D1	FLUX-D1	1	1	true	true
FLUX-D3	FLUX-D1	FLUX-D1	1	1	true	true
FLUX-D4	FLUX-D1	FLUX-D1	1	1	true	true
FLUX-D5	FLUX-D4	FLUX-D1;FLUX-D4	1	2	true	true
MAX-G1			0	0	true	true
MAX-G2	MAX-G1	MAX-G1	1	1	true	true
MAX-G3	MAX-G1;MAX-G2	MAX-G1;MAX-G2	2	2	true	true
MAX-G4	MAX-G1;MAX-G3	MAX-G1;MAX-G2;MAX-G3	2	3	true	true
MAX-G5	MAX-G4	MAX-G1;MAX-G2;MAX-G3;MAX-G4	1	4	true	true
MAX-G6	MAX-G5	MAX-G1;MAX-G2;MAX-G3;MAX-G4;MAX-G5	1	5	true	true
MAX-G7	MAX-G1	MAX-G1	1	1	true	true
MAX-G8	MAX-G7	MAX-G1;MAX-G7	1	2	true	true
MAX-G9	MAX-G7	MAX-G1;MAX-G7	1	2	true	true
SEL-F1			0	0	true	true
SEL-F2	SEL-F1	SEL-F1	1	1	true	true
SUP-E1			0	0	true	true
SUP-E2	SUP-E1	SUP-E1	1	1	true	true
SUP-E3			0	0	true	true
SUP-E4	SUP-E3	SUP-E3	1	1	true	true
