setting	analysis_variant	information_protocol	approximation	model	regularization_view	roots	incidences	root_balanced_joint	incidence_weighted_joint	root_balanced_raising	root_balanced_harmony_old_vs_opposite
uniform20	all_agreeing_offsets	side_informed	gh80	HU_plus_surface	selected	515	58577	-0.2779154486283833	-0.10241708905035994	-0.10694353602380831	-0.17462381315855
uniform20	all_agreeing_offsets	side_informed	gh80	retention_bounded_plus_HU	selected	515	58577	-0.2874984527599696	-0.09165264934927904	-0.1035866975826826	-0.18718345455182864
uniform20	all_agreeing_offsets	side_informed	laplace	HU_plus_surface	selected	515	58577	-0.2766853223783231	-0.10384414517388531	-0.10660883585771488	-0.17373224370199536
uniform20	all_agreeing_offsets	side_informed	laplace	retention_bounded_plus_HU	selected	515	58577	-0.28107438532621803	-0.09114730920075786	-0.10331278724789719	-0.18080435111491214
uniform20	all_agreeing_offsets	side_informed	not_applicable	current_only	selected	515	58577	-0.5589978850043572	-0.3177344871495347	-0.1268793936513476	-0.458584540572789
uniform20	all_agreeing_offsets	side_informed	not_applicable	input_plus_surface	selected	515	58577	-0.29323087501437617	-0.10151332974536895	-0.10799028864768644	-0.1903021353131838
uniform20	all_agreeing_offsets	side_informed	not_applicable	retention_bounded	selected	515	58577	-0.29666052770732004	-0.09789740108587631	-0.10289307087179039	-0.19873656776953455
uniform20	all_agreeing_offsets	side_informed	not_applicable	retention_nonnegative	selected	515	58577	-0.319045218169052	-0.09495540743670658	-0.10462365657081421	-0.22032747757638527
uniform20	all_agreeing_offsets	wholly_unseen	gh80	HU_plus_surface	selected	515	58577	-0.5608117494154419	-0.7715075602817983	-0.38350877104095954	-0.18608391802730603
uniform20	all_agreeing_offsets	wholly_unseen	gh80	retention_bounded_plus_HU	selected	515	58577	-0.5515824112877286	-0.7526450276616811	-0.37278259306879175	-0.18649916989263152
uniform20	all_agreeing_offsets	wholly_unseen	laplace	HU_plus_surface	selected	515	58577	-0.5584090435854553	-0.7771272413872329	-0.38383978532620944	-0.18542424712956132
uniform20	all_agreeing_offsets	wholly_unseen	laplace	retention_bounded_plus_HU	selected	515	58577	-0.5489224350369822	-0.7556785022314112	-0.3743747761892409	-0.18198894797999446
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	current_only	selected	515	58577	-0.8750419652773269	-1.0197660663096848	-0.4429234739243172	-0.5095344609808036
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	input_plus_surface	selected	515	58577	-0.5738611951264169	-0.7758914928220422	-0.38862060875972715	-0.19693022588866274
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	retention_bounded	selected	515	58577	-0.5676233244263192	-0.7612152615406075	-0.3738558675907896	-0.2051349262514793
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	retention_nonnegative	selected	515	58577	-0.5892186666908248	-0.7537126386154108	-0.37627599888322055	-0.22563923442779554
uniform20	all_strict	side_informed	gh80	HU_plus_surface	selected	515	58577	-0.2798856189359795	-0.10515532028033528	-0.10830805368801846	-0.17505006945565327
uniform20	all_strict	side_informed	gh80	retention_bounded_plus_HU	selected	515	58577	-0.2978253283112094	-0.09630715305475833	-0.11105531710899558	-0.19140275708487764
uniform20	all_strict	side_informed	laplace	HU_plus_surface	selected	515	58577	-0.27822970469489244	-0.10658970134004844	-0.1077721303652861	-0.17345436838627082
uniform20	all_strict	side_informed	laplace	retention_bounded_plus_HU	selected	515	58577	-0.2909882405752949	-0.09576869786243494	-0.11071477313181226	-0.18453676651830977
uniform20	all_strict	side_informed	not_applicable	current_only	selected	515	58577	-0.5491335697623135	-0.31317036451924724	-0.11701507840930385	-0.43998390832956363
uniform20	all_strict	side_informed	not_applicable	input_plus_surface	selected	515	58577	-0.29706457048687807	-0.10446324129749479	-0.11072226391293005	-0.19239210917593325
uniform20	all_strict	side_informed	not_applicable	retention_bounded	selected	515	58577	-0.3105493685678178	-0.10396828123657943	-0.11429864773982752	-0.20325117719651764
uniform20	all_strict	side_informed	not_applicable	retention_nonnegative	selected	515	58577	-0.32972994930688415	-0.11624284342772455	-0.11207444039685949	-0.21958624940317797
uniform20	all_strict	wholly_unseen	gh80	HU_plus_surface	selected	515	58577	-0.5482082187184524	-0.6729062519079775	-0.38001408408901205	-0.17578153835299
uniform20	all_strict	wholly_unseen	gh80	retention_bounded_plus_HU	selected	515	58577	-0.5723770748109865	-0.6646710450750984	-0.38840723417853523	-0.19538810629760525
uniform20	all_strict	wholly_unseen	laplace	HU_plus_surface	selected	515	58577	-0.5478870919509039	-0.6747795665253947	-0.38013508696903076	-0.17575122497682666
uniform20	all_strict	wholly_unseen	laplace	retention_bounded_plus_HU	selected	515	58577	-0.5648360809837072	-0.664096483820122	-0.3879503387733427	-0.1877992708505477
uniform20	all_strict	wholly_unseen	not_applicable	current_only	selected	515	58577	-0.8333327543957454	-0.8955315705768756	-0.40121426304273566	-0.4438489931509182
uniform20	all_strict	wholly_unseen	not_applicable	input_plus_surface	selected	515	58577	-0.5717749954260399	-0.6738902455349769	-0.38543268885209186	-0.19895552265777391
uniform20	all_strict	wholly_unseen	not_applicable	retention_bounded	selected	515	58577	-0.597021807302995	-0.6762209696132601	-0.4007710864750047	-0.21286768546089874
uniform20	all_strict	wholly_unseen	not_applicable	retention_nonnegative	selected	515	58577	-0.6056984757702318	-0.6894976071203316	-0.3880429668602072	-0.22209595320529338
uniform20	unrounded_strict	side_informed	gh80	HU_plus_surface	selected	338	29104	-0.2934209843207917	-0.1515657651650851	-0.1155120369881711	-0.1808068388317118
uniform20	unrounded_strict	side_informed	gh80	retention_bounded_plus_HU	selected	338	29104	-0.31712629437428574	-0.1499948971451078	-0.12151877904834432	-0.20071241951048946
uniform20	unrounded_strict	side_informed	laplace	HU_plus_surface	selected	338	29104	-0.29816974651595884	-0.15334631983882238	-0.11530443414087435	-0.1855057500262321
uniform20	unrounded_strict	side_informed	laplace	retention_bounded_plus_HU	selected	338	29104	-0.3126749036971102	-0.14922316386735288	-0.12116377710162399	-0.19623096247839786
uniform20	unrounded_strict	side_informed	not_applicable	current_only	selected	338	29104	-0.5831709686896686	-0.4378037252860008	-0.11442573597690335	-0.46715221669557716
uniform20	unrounded_strict	side_informed	not_applicable	input_plus_surface	selected	338	29104	-0.312856309041026	-0.15819323310107977	-0.11829564877210577	-0.20004561897669126
uniform20	unrounded_strict	side_informed	not_applicable	retention_bounded	selected	338	29104	-0.3310410122213707	-0.15939898315327333	-0.12644921956786195	-0.2117990838793994
