setting	metric	analysis_variant	information_protocol	approximation	regularization_view	model_a	model_b	roots	mean_log_score_a_minus_b	root_wins_a	root_ties	replicates	seed	conditional_95_lower	conditional_95_upper
uniform20	joint	all_strict	side_informed	laplace	selected	retention_bounded	retention_nonnegative	515	0.01918058073906627	440	0	5000	2026092007	0.00583382282760301	0.03270035513723383
uniform20	joint	all_strict	side_informed	laplace	selected	retention_bounded	current_only	515	0.23858420119449578	483	0	5000	2026092007	0.17419261758248972	0.3020159114415464
uniform20	joint	all_strict	side_informed	laplace	selected	retention_bounded	input_plus_surface	515	-0.013484798080939782	95	0	5000	2026092007	-0.025082588649194937	-0.002549083602707774
uniform20	joint	all_strict	side_informed	laplace	selected	retention_bounded	HU_plus_surface	515	-0.03231966387292538	97	0	5000	2026092007	-0.06448990511795233	-0.0035130157598450705
uniform20	joint	all_strict	side_informed	laplace	selected	retention_bounded	retention_bounded_plus_HU	515	-0.01956112799252299	58	0	5000	2026092007	-0.03881420736453917	-0.0028689866063901165
uniform20	joint	all_strict	side_informed	laplace	selected	retention_nonnegative	current_only	515	0.2194036204554295	484	0	5000	2026092007	0.1530786160170601	0.2863402858126894
uniform20	joint	all_strict	side_informed	laplace	selected	retention_nonnegative	input_plus_surface	515	-0.03266537882000605	80	0	5000	2026092007	-0.05146547072256825	-0.015426215884744235
uniform20	joint	all_strict	side_informed	laplace	selected	retention_nonnegative	HU_plus_surface	515	-0.05150024461199165	84	0	5000	2026092007	-0.08872699608447843	-0.017267100662654192
uniform20	joint	all_strict	side_informed	laplace	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.038741708731589254	95	0	5000	2026092007	-0.06320096995860676	-0.016947994113023217
uniform20	joint	all_strict	side_informed	laplace	selected	current_only	input_plus_surface	515	-0.2520689992754356	32	0	5000	2026092007	-0.30905813402028426	-0.19454011755766681
uniform20	joint	all_strict	side_informed	laplace	selected	current_only	HU_plus_surface	515	-0.2709038650674211	28	0	5000	2026092007	-0.3253775936990729	-0.21778373054282957
uniform20	joint	all_strict	side_informed	laplace	selected	current_only	retention_bounded_plus_HU	515	-0.2581453291870187	39	0	5000	2026092007	-0.31950035511207325	-0.19584003613668607
uniform20	joint	all_strict	side_informed	laplace	selected	input_plus_surface	HU_plus_surface	515	-0.0188348657919856	284	0	5000	2026092007	-0.043159536049389886	0.00342279314511841
uniform20	joint	all_strict	side_informed	laplace	selected	input_plus_surface	retention_bounded_plus_HU	515	-0.006076329911583201	48	0	5000	2026092007	-0.022952190037256723	0.010770456775939855
uniform20	joint	all_strict	side_informed	laplace	selected	HU_plus_surface	retention_bounded_plus_HU	515	0.0127585358804024	50	0	5000	2026092007	-0.007252770204223848	0.03355857363105673
uniform20	joint	all_strict	side_informed	gh80	selected	retention_bounded	retention_nonnegative	515	0.01918058073906627	440	0	5000	2026092007	0.00583382282760301	0.03270035513723383
uniform20	joint	all_strict	side_informed	gh80	selected	retention_bounded	current_only	515	0.23858420119449578	483	0	5000	2026092007	0.17419261758248972	0.3020159114415464
uniform20	joint	all_strict	side_informed	gh80	selected	retention_bounded	input_plus_surface	515	-0.013484798080939782	95	0	5000	2026092007	-0.025082588649194937	-0.002549083602707774
uniform20	joint	all_strict	side_informed	gh80	selected	retention_bounded	HU_plus_surface	515	-0.03066374963183834	95	0	5000	2026092007	-0.060014615551916096	-0.004607419559662683
uniform20	joint	all_strict	side_informed	gh80	selected	retention_bounded	retention_bounded_plus_HU	515	-0.012724040256608476	59	0	5000	2026092007	-0.028295851342623177	0.0010802039500505257
uniform20	joint	all_strict	side_informed	gh80	selected	retention_nonnegative	current_only	515	0.2194036204554295	484	0	5000	2026092007	0.1530786160170601	0.2863402858126894
uniform20	joint	all_strict	side_informed	gh80	selected	retention_nonnegative	input_plus_surface	515	-0.03266537882000605	80	0	5000	2026092007	-0.05146547072256825	-0.015426215884744235
uniform20	joint	all_strict	side_informed	gh80	selected	retention_nonnegative	HU_plus_surface	515	-0.04984433037090461	82	0	5000	2026092007	-0.08502782287106016	-0.01856909420676563
uniform20	joint	all_strict	side_informed	gh80	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.031904620995674746	93	0	5000	2026092007	-0.05342400586637833	-0.012562958006763488
uniform20	joint	all_strict	side_informed	gh80	selected	current_only	input_plus_surface	515	-0.2520689992754356	32	0	5000	2026092007	-0.30905813402028426	-0.19454011755766681
uniform20	joint	all_strict	side_informed	gh80	selected	current_only	HU_plus_surface	515	-0.2692479508263341	31	0	5000	2026092007	-0.3238014995268199	-0.21554884287171677
uniform20	joint	all_strict	side_informed	gh80	selected	current_only	retention_bounded_plus_HU	515	-0.2513082414511042	38	0	5000	2026092007	-0.31397028183262954	-0.18773742556654688
uniform20	joint	all_strict	side_informed	gh80	selected	input_plus_surface	HU_plus_surface	515	-0.017178951550898554	127	0	5000	2026092007	-0.03852570218560681	0.0016982896161391334
uniform20	joint	all_strict	side_informed	gh80	selected	input_plus_surface	retention_bounded_plus_HU	515	0.0007607578243313071	52	0	5000	2026092007	-0.013511125530767488	0.016195481957422146
uniform20	joint	all_strict	side_informed	gh80	selected	HU_plus_surface	retention_bounded_plus_HU	515	0.01793970937522986	54	0	5000	2026092007	-0.0012083313722505578	0.03816340449570649
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_bounded	retention_nonnegative	515	0.00867666846723672	429	0	5000	2026092007	-0.013622829606298067	0.031079992223002787
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_bounded	current_only	515	0.2363109470927503	480	0	5000	2026092007	0.17476168592511582	0.29735968984506955
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_bounded	input_plus_surface	515	-0.02524681187695515	60	0	5000	2026092007	-0.041345104436618776	-0.009660244329568336
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_bounded	HU_plus_surface	515	-0.04913471535209113	64	0	5000	2026092007	-0.08663917754097811	-0.015217278907988253
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_bounded	retention_bounded_plus_HU	515	-0.03218572631928776	78	0	5000	2026092007	-0.05491459688196819	-0.012600361567418882
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_nonnegative	current_only	515	0.2276342786255136	484	0	5000	2026092007	0.16175025063077073	0.2934475937477296
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_nonnegative	input_plus_surface	515	-0.03392348034419187	79	0	5000	2026092007	-0.05339219494790515	-0.015289709560560335
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_nonnegative	HU_plus_surface	515	-0.05781138381932785	82	0	5000	2026092007	-0.097242035115263	-0.021162981495491385
uniform20	joint	all_strict	wholly_unseen	laplace	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.04086239478652447	98	0	5000	2026092007	-0.06874066743310561	-0.0138422820126373
uniform20	joint	all_strict	wholly_unseen	laplace	selected	current_only	input_plus_surface	515	-0.2615577589697055	32	0	5000	2026092007	-0.31664564453882305	-0.20654296482189452
uniform20	joint	all_strict	wholly_unseen	laplace	selected	current_only	HU_plus_surface	515	-0.2854456624448415	25	0	5000	2026092007	-0.3373329478784026	-0.23392409306810433
uniform20	joint	all_strict	wholly_unseen	laplace	selected	current_only	retention_bounded_plus_HU	515	-0.2684966734120381	40	0	5000	2026092007	-0.3281999531528773	-0.20795168942908504
uniform20	joint	all_strict	wholly_unseen	laplace	selected	input_plus_surface	HU_plus_surface	515	-0.023887903475135985	281	0	5000	2026092007	-0.051043748047696756	0.0006430803404564511
uniform20	joint	all_strict	wholly_unseen	laplace	selected	input_plus_surface	retention_bounded_plus_HU	515	-0.006938914442332608	62	0	5000	2026092007	-0.025889444509601227	0.012274448522506618
uniform20	joint	all_strict	wholly_unseen	laplace	selected	HU_plus_surface	retention_bounded_plus_HU	515	0.016948989032803372	56	0	5000	2026092007	-0.004379405240730127	0.038545245290477585
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_bounded	retention_nonnegative	515	0.00867666846723672	429	0	5000	2026092007	-0.013622829606298067	0.031079992223002787
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_bounded	current_only	515	0.2363109470927503	480	0	5000	2026092007	0.17476168592511582	0.29735968984506955
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_bounded	input_plus_surface	515	-0.02524681187695515	60	0	5000	2026092007	-0.041345104436618776	-0.009660244329568336
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_bounded	HU_plus_surface	515	-0.04881358858454266	64	0	5000	2026092007	-0.08374225461266183	-0.017527885307331865
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_bounded	retention_bounded_plus_HU	515	-0.024644732492008613	78	0	5000	2026092007	-0.04351111135771482	-0.008418644441130841
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_nonnegative	current_only	515	0.2276342786255136	484	0	5000	2026092007	0.16175025063077073	0.2934475937477296
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_nonnegative	input_plus_surface	515	-0.03392348034419187	79	0	5000	2026092007	-0.05339219494790515	-0.015289709560560335
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_nonnegative	HU_plus_surface	515	-0.057490257051779375	81	0	5000	2026092007	-0.09399737341575773	-0.02369187593963369
uniform20	joint	all_strict	wholly_unseen	gh80	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.03332140095924532	98	0	5000	2026092007	-0.05823863204554733	-0.00933508154485594
uniform20	joint	all_strict	wholly_unseen	gh80	selected	current_only	input_plus_surface	515	-0.2615577589697055	32	0	5000	2026092007	-0.31664564453882305	-0.20654296482189452
uniform20	joint	all_strict	wholly_unseen	gh80	selected	current_only	HU_plus_surface	515	-0.285124535677293	29	0	5000	2026092007	-0.3368220534988053	-0.2344068802484915
uniform20	joint	all_strict	wholly_unseen	gh80	selected	current_only	retention_bounded_plus_HU	515	-0.2609556795847589	37	0	5000	2026092007	-0.32169875097906153	-0.19927622375867196
uniform20	joint	all_strict	wholly_unseen	gh80	selected	input_plus_surface	HU_plus_surface	515	-0.023566776707587517	140	0	5000	2026092007	-0.04775974299250887	-0.0017474050610183636
uniform20	joint	all_strict	wholly_unseen	gh80	selected	input_plus_surface	retention_bounded_plus_HU	515	0.000602079384946534	66	0	5000	2026092007	-0.015515316334115136	0.017985883885504955
uniform20	joint	all_strict	wholly_unseen	gh80	selected	HU_plus_surface	retention_bounded_plus_HU	515	0.024168856092534052	60	0	5000	2026092007	0.003326428052279168	0.04647181906013842
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_bounded	retention_nonnegative	515	0.02238469046173199	145	0	5000	2026092007	0.01016833588025198	0.035782806588682124
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_bounded	current_only	515	0.2623373572970373	484	0	5000	2026092007	0.19831126663556797	0.3257505876327489
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_bounded	input_plus_surface	515	-0.003429652692943872	103	0	5000	2026092007	-0.015290722742500863	0.007537812005719971
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_bounded	HU_plus_surface	515	-0.01997520532899695	108	0	5000	2026092007	-0.04998932088796604	0.007034836061050777
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_bounded	retention_bounded_plus_HU	515	-0.015586142381102012	61	0	5000	2026092007	-0.03323206315351549	-0.00019747049756164688
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_nonnegative	current_only	515	0.23995266683530525	481	0	5000	2026092007	0.16767430600958083	0.31142594836374277
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_nonnegative	input_plus_surface	515	-0.025814343154675866	374	0	5000	2026092007	-0.04754198071387385	-0.005764158149458319
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_nonnegative	HU_plus_surface	515	-0.042359895790728935	377	0	5000	2026092007	-0.08082944094576898	-0.0072429788314892505
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.03797083284283401	352	0	5000	2026092007	-0.061991330626617894	-0.016940083941881352
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	current_only	input_plus_surface	515	-0.2657670099899811	32	0	5000	2026092007	-0.32292545750073925	-0.20786431592117705
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	current_only	HU_plus_surface	515	-0.2823125626260342	28	0	5000	2026092007	-0.33717191648172506	-0.22879400578302972
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	current_only	retention_bounded_plus_HU	515	-0.2779234996781393	37	0	5000	2026092007	-0.34028113851380326	-0.21501998271813205
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	input_plus_surface	HU_plus_surface	515	-0.016545552636053076	281	0	5000	2026092007	-0.03926556068797642	0.0041811844299344736
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	input_plus_surface	retention_bounded_plus_HU	515	-0.012156489688158145	45	0	5000	2026092007	-0.02843307939354173	0.004119243504856725
uniform20	joint	all_agreeing_offsets	side_informed	laplace	selected	HU_plus_surface	retention_bounded_plus_HU	515	0.004389062947894928	50	0	5000	2026092007	-0.014740269291669992	0.02411787517016823
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	retention_nonnegative	515	0.02238469046173199	145	0	5000	2026092007	0.01016833588025198	0.035782806588682124
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	current_only	515	0.2623373572970373	484	0	5000	2026092007	0.19831126663556797	0.3257505876327489
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	input_plus_surface	515	-0.003429652692943872	103	0	5000	2026092007	-0.015290722742500863	0.007537812005719971
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	HU_plus_surface	515	-0.018745079078936803	106	0	5000	2026092007	-0.04637306471546746	0.006077918470098738
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	retention_bounded_plus_HU	515	-0.009162074947350453	63	0	5000	2026092007	-0.023549507709882275	0.0034899932206232435
